taxa.level	taxa.name	age	richness	e.div.0	e.div.5	e.div.9
Order	Trogoniformes	82.4874	39	0.044413591	0.036317453	0.019016431
Order	Ceratodontiformes	381.9	1	0	0	0
Order	Carcharhiniformes	259	283	0.021797092	0.019134467	0.013027678
Order	Heterodontiformes	318	9	0.006909511	0.005061126	0.001848386
Order	Hexanchiformes	327	6	0.005479387	0.003831079	0.001239954
Order	Lamniformes	259	16	0.010704976	0.008262804	0.003537802
Order	Myliobatiformes	265	220	0.020353311	0.017754776	0.011815611
Order	Orectolobiformes	289	44	0.013094082	0.010773409	0.005770612
Order	Platyrhiniformes	274	2	0.002529734	0.0014798	0.000347847
Order	Pristiformes	159	7	0.012238429	0.008718832	0.002955998
Order	Pristiophoriformes	276	8	0.007534208	0.005449556	0.001922566
Order	Rajiformes	291	355	0.020179099	0.017806816	0.01235247
Order	Rhiniformes	159	3	0.006909511	0.004359416	0.001146676
Order	Rhinobatiformes	159	41	0.023355799	0.01914794	0.010122251
Order	Squaliformes	263	124	0.018328067	0.015723067	0.009839407
Order	Squatiniformes	214	23	0.014651842	0.011611713	0.005435284
Order	Torpediniformes	281	65	0.014855471	0.012443087	0.007122705
Order	Afrosoricida	75.47	51	0.052097862	0.04317075	0.023741347
Order	Carnivora	79.43	287	0.071251192	0.062568467	0.042651068
Order	Cetacea	55.46	91	0.081335368	0.069034284	0.041517943
Order	Chiroptera	80.69	1299	0.088850539	0.080269827	0.060399919
Order	Cingulata	68.19	21	0.044647638	0.035164911	0.016111047
Order	Dasyuromorphia	64.81	75	0.066617622	0.056126927	0.032838014
Order	Dermoptera	79.65	2	0.008702413	0.005090585	0.001196612
Order	Didelphimorphia	80.95	99	0.056764915	0.048326411	0.029395258
Order	Diprotodontia	68.3	143	0.07266244	0.062615902	0.039843271
Order	Erinaceomorpha	70.49	24	0.045085173	0.035831021	0.016937473
Order	Hyracoidea	61.53	4	0.022530381	0.014891772	0.004264006
Order	Lagomorpha	77.14	92	0.058617949	0.049772522	0.029978421
Order	Macroscelidea	75.77	15	0.035740401	0.027444128	0.011554292
Order	Microbiotheria	70.68	1	0	0	0
Order	Monotremata	215.64	5	0.007463541	0.005094659	0.001560342
Order	Notoryctemorphia	67.29	2	0.010300894	0.006025637	0.001416409
Order	Paucituberculata	90.7	6	0.01975479	0.013812161	0.004470398
Order	Peramelemorphia	64.81	21	0.046976122	0.036998847	0.016951277
Order	Perissodactyla	80.16	24	0.03964638	0.031508591	0.014894242
Order	Pholidota	79.73	8	0.026081043	0.018864636	0.006655315
Order	Pilosa	67.89	10	0.03391641	0.025110445	0.009454321
Order	Primates	79.35	488	0.078012797	0.069303281	0.049225015
Order	Proboscidea	61.53	3	0.017854905	0.011265191	0.002963133
Order	Rodentia	77.14	2106	0.099203341	0.090223921	0.069409191
